Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja);Ilość
1;Rozmiar:rozmiar:0; L:0;100
1;Rozmiar:rozmiar:0; M:0;100
1;Rozmiar:rozmiar:0; S:0;100
1;Rozmiar:rozmiar:0; XL:0;100
1;Rozmiar:rozmiar:0; XS:0;100
2;Rozmiar:rozmiar:0; L:0;100
2;Rozmiar:rozmiar:0; M:0;100
2;Rozmiar:rozmiar:0; S:0;100
2;Rozmiar:rozmiar:0; XL:0;100
2;Rozmiar:rozmiar:0; XS:0;100
3;Rozmiar:rozmiar:0; 32:0;100
3;Rozmiar:rozmiar:0; 34:0;100
3;Rozmiar:rozmiar:0; 36:0;100
3;Rozmiar:rozmiar:0; 38:0;100
3;Rozmiar:rozmiar:0; 40:0;100
3;Rozmiar:rozmiar:0; 42:0;100
3;Rozmiar:rozmiar:0; 44:0;100
3;Rozmiar:rozmiar:0; 46:0;100
4;Rozmiar:rozmiar:0; 32:0;100
4;Rozmiar:rozmiar:0; 34:0;100
4;Rozmiar:rozmiar:0; 36:0;100
4;Rozmiar:rozmiar:0; 38:0;100
4;Rozmiar:rozmiar:0; 40:0;100
4;Rozmiar:rozmiar:0; 42:0;100
4;Rozmiar:rozmiar:0; 44:0;100
4;Rozmiar:rozmiar:0; 46:0;100
4;Rozmiar:rozmiar:0; 48:0;100
4;Rozmiar:rozmiar:0; 50:0;100
5;Rozmiar:rozmiar:0; L:0;100
5;Rozmiar:rozmiar:0; M:0;100
5;Rozmiar:rozmiar:0; S:0;100
5;Rozmiar:rozmiar:0; XL:0;100
5;Rozmiar:rozmiar:0; XS:0;100
6;Rozmiar:rozmiar:0; L:0;100
6;Rozmiar:rozmiar:0; M:0;100
6;Rozmiar:rozmiar:0; S:0;100
6;Rozmiar:rozmiar:0; XL:0;100
6;Rozmiar:rozmiar:0; XS:0;100
7;Rozmiar:rozmiar:0; L:0;100
7;Rozmiar:rozmiar:0; M:0;100
7;Rozmiar:rozmiar:0; S:0;100
7;Rozmiar:rozmiar:0; XL:0;100
7;Rozmiar:rozmiar:0; XS:0;100
8;Rozmiar:rozmiar:0; L:0;100
8;Rozmiar:rozmiar:0; M:0;100
8;Rozmiar:rozmiar:0; S:0;100
8;Rozmiar:rozmiar:0; XL:0;100
8;Rozmiar:rozmiar:0; XS:0;100
9;Rozmiar:rozmiar:0; 32:0;100
9;Rozmiar:rozmiar:0; 34:0;100
9;Rozmiar:rozmiar:0; 36:0;100
9;Rozmiar:rozmiar:0; 38:0;100
9;Rozmiar:rozmiar:0; 40:0;100
9;Rozmiar:rozmiar:0; 42:0;100
9;Rozmiar:rozmiar:0; 44:0;100
9;Rozmiar:rozmiar:0; 46:0;100
9;Rozmiar:rozmiar:0; 48:0;100
9;Rozmiar:rozmiar:0; 50:0;100
10;Rozmiar:rozmiar:0; 32:0;100
10;Rozmiar:rozmiar:0; 34:0;100
10;Rozmiar:rozmiar:0; 36:0;100
10;Rozmiar:rozmiar:0; 38:0;100
10;Rozmiar:rozmiar:0; 40:0;100
10;Rozmiar:rozmiar:0; 42:0;100
10;Rozmiar:rozmiar:0; 44:0;100
10;Rozmiar:rozmiar:0; 46:0;100
10;Rozmiar:rozmiar:0; 48:0;100
10;Rozmiar:rozmiar:0; 50:0;100
11;Rozmiar:rozmiar:0; L:0;100
11;Rozmiar:rozmiar:0; M:0;100
11;Rozmiar:rozmiar:0; S:0;100
11;Rozmiar:rozmiar:0; XL:0;100
11;Rozmiar:rozmiar:0; XS:0;100
12;Rozmiar:rozmiar:0; L:0;100
12;Rozmiar:rozmiar:0; M:0;100
12;Rozmiar:rozmiar:0; S:0;100
12;Rozmiar:rozmiar:0; XL:0;100
12;Rozmiar:rozmiar:0; XS:0;100
13;Rozmiar:rozmiar:0; L:0;100
13;Rozmiar:rozmiar:0; M:0;100
13;Rozmiar:rozmiar:0; S:0;100
13;Rozmiar:rozmiar:0; XL:0;100
13;Rozmiar:rozmiar:0; XS:0;100
14;Rozmiar:rozmiar:0; 32:0;100
14;Rozmiar:rozmiar:0; 34:0;100
14;Rozmiar:rozmiar:0; 36:0;100
14;Rozmiar:rozmiar:0; 38:0;100
14;Rozmiar:rozmiar:0; 40:0;100
14;Rozmiar:rozmiar:0; 42:0;100
14;Rozmiar:rozmiar:0; 44:0;100
14;Rozmiar:rozmiar:0; 46:0;100
14;Rozmiar:rozmiar:0; 48:0;100
14;Rozmiar:rozmiar:0; 50:0;100
15;Rozmiar:rozmiar:0; 32:0;100
15;Rozmiar:rozmiar:0; 34:0;100
15;Rozmiar:rozmiar:0; 36:0;100
15;Rozmiar:rozmiar:0; 38:0;100
15;Rozmiar:rozmiar:0; 40:0;100
15;Rozmiar:rozmiar:0; 42:0;100
15;Rozmiar:rozmiar:0; 44:0;100
15;Rozmiar:rozmiar:0; 46:0;100
15;Rozmiar:rozmiar:0; 48:0;100
15;Rozmiar:rozmiar:0; 50:0;100
16;Rozmiar:rozmiar:0; L:0;100
16;Rozmiar:rozmiar:0; M:0;100
16;Rozmiar:rozmiar:0; S:0;100
16;Rozmiar:rozmiar:0; XL:0;100
16;Rozmiar:rozmiar:0; XS:0;100
17;Rozmiar:rozmiar:0; 32:0;100
17;Rozmiar:rozmiar:0; 34:0;100
17;Rozmiar:rozmiar:0; 36:0;100
17;Rozmiar:rozmiar:0; 38:0;100
17;Rozmiar:rozmiar:0; 40:0;100
17;Rozmiar:rozmiar:0; 42:0;100
17;Rozmiar:rozmiar:0; 44:0;100
17;Rozmiar:rozmiar:0; 46:0;100
17;Rozmiar:rozmiar:0; 48:0;100
17;Rozmiar:rozmiar:0; 50:0;100
18;Rozmiar:rozmiar:0; 32:0;100
18;Rozmiar:rozmiar:0; 34:0;100
18;Rozmiar:rozmiar:0; 36:0;100
18;Rozmiar:rozmiar:0; 38:0;100
18;Rozmiar:rozmiar:0; 40:0;100
18;Rozmiar:rozmiar:0; 42:0;100
18;Rozmiar:rozmiar:0; 44:0;100
18;Rozmiar:rozmiar:0; 46:0;100
18;Rozmiar:rozmiar:0; 48:0;100
18;Rozmiar:rozmiar:0; 50:0;100
19;Rozmiar:rozmiar:0; Jeden rozmiar:0;100
20;Rozmiar:rozmiar:0; 24:0;100
20;Rozmiar:rozmiar:0; 25:0;100
20;Rozmiar:rozmiar:0; 26:0;100
20;Rozmiar:rozmiar:0; 27:0;100
20;Rozmiar:rozmiar:0; 28:0;100
20;Rozmiar:rozmiar:0; 29:0;100
20;Rozmiar:rozmiar:0; 30:0;100
20;Rozmiar:rozmiar:0; 31:0;100
20;Rozmiar:rozmiar:0; 32:0;100
20;Rozmiar:rozmiar:0; 33:0;100
20;Rozmiar:rozmiar:0; 34:0;100
20;Rozmiar:rozmiar:0; 36:0;100
21;Rozmiar:rozmiar:0; 32:0;100
21;Rozmiar:rozmiar:0; 34:0;100
21;Rozmiar:rozmiar:0; 36:0;100
21;Rozmiar:rozmiar:0; 38:0;100
21;Rozmiar:rozmiar:0; 40:0;100
21;Rozmiar:rozmiar:0; 42:0;100
21;Rozmiar:rozmiar:0; 44:0;100
21;Rozmiar:rozmiar:0; 46:0;100
21;Rozmiar:rozmiar:0; 48:0;100
21;Rozmiar:rozmiar:0; 50:0;100
22;Rozmiar:rozmiar:0; L:0;100
22;Rozmiar:rozmiar:0; M:0;100
22;Rozmiar:rozmiar:0; S:0;100
22;Rozmiar:rozmiar:0; XL:0;100
22;Rozmiar:rozmiar:0; XS:0;100
23;Rozmiar:rozmiar:0; 24:0;100
23;Rozmiar:rozmiar:0; 25:0;100
23;Rozmiar:rozmiar:0; 26:0;100
23;Rozmiar:rozmiar:0; 27:0;100
23;Rozmiar:rozmiar:0; 28:0;100
23;Rozmiar:rozmiar:0; 29:0;100
23;Rozmiar:rozmiar:0; 30:0;100
23;Rozmiar:rozmiar:0; 31:0;100
23;Rozmiar:rozmiar:0; 32:0;100
23;Rozmiar:rozmiar:0; 33:0;100
23;Rozmiar:rozmiar:0; 34:0;100
23;Rozmiar:rozmiar:0; 36:0;100
24;Rozmiar:rozmiar:0; L:0;100
24;Rozmiar:rozmiar:0; M:0;100
24;Rozmiar:rozmiar:0; S:0;100
24;Rozmiar:rozmiar:0; XS:0;100
25;Rozmiar:rozmiar:0; L:0;100
25;Rozmiar:rozmiar:0; M:0;100
25;Rozmiar:rozmiar:0; S:0;100
25;Rozmiar:rozmiar:0; XL:0;100
25;Rozmiar:rozmiar:0; XS:0;100
25;Rozmiar:rozmiar:0; XXS:0;100
26;Rozmiar:rozmiar:0; 25/30:0;100
26;Rozmiar:rozmiar:0; 26/28:0;100
26;Rozmiar:rozmiar:0; 26/30:0;100
26;Rozmiar:rozmiar:0; 26/32:0;100
26;Rozmiar:rozmiar:0; 27/28:0;100
26;Rozmiar:rozmiar:0; 27/30:0;100
26;Rozmiar:rozmiar:0; 27/32:0;100
26;Rozmiar:rozmiar:0; 28/28:0;100
26;Rozmiar:rozmiar:0; 28/30:0;100
26;Rozmiar:rozmiar:0; 28/32:0;100
26;Rozmiar:rozmiar:0; 28/34:0;100
26;Rozmiar:rozmiar:0; 29/32:0;100
26;Rozmiar:rozmiar:0; 29/34:0;100
26;Rozmiar:rozmiar:0; 29/3O:0;100
26;Rozmiar:rozmiar:0; 30/30:0;100
26;Rozmiar:rozmiar:0; 30/32:0;100
26;Rozmiar:rozmiar:0; 30/34:0;100
26;Rozmiar:rozmiar:0; 31/30:0;100
26;Rozmiar:rozmiar:0; 31/32:0;100
26;Rozmiar:rozmiar:0; 31/34:0;100
26;Rozmiar:rozmiar:0; 32/30:0;100
26;Rozmiar:rozmiar:0; 32/32:0;100
26;Rozmiar:rozmiar:0; 32/34:0;100
26;Rozmiar:rozmiar:0; 33/32:0;100
26;Rozmiar:rozmiar:0; 33/34:0;100
26;Rozmiar:rozmiar:0; 34/32:0;100
26;Rozmiar:rozmiar:0; 34/34:0;100
26;Rozmiar:rozmiar:0; 36/34:0;100
27;Rozmiar:rozmiar:0; 32:0;100
27;Rozmiar:rozmiar:0; 34:0;100
27;Rozmiar:rozmiar:0; 36:0;100
27;Rozmiar:rozmiar:0; 38:0;100
27;Rozmiar:rozmiar:0; 40:0;100
27;Rozmiar:rozmiar:0; 42:0;100
27;Rozmiar:rozmiar:0; 44:0;100
27;Rozmiar:rozmiar:0; 46:0;100
28;Rozmiar:rozmiar:0; L/58:0;100
28;Rozmiar:rozmiar:0; M/56:0;100
28;Rozmiar:rozmiar:0; S/54:0;100
29;Rozmiar:rozmiar:0; 32:0;100
29;Rozmiar:rozmiar:0; 34:0;100
29;Rozmiar:rozmiar:0; 36:0;100
29;Rozmiar:rozmiar:0; 38:0;100
29;Rozmiar:rozmiar:0; 40:0;100
29;Rozmiar:rozmiar:0; 42:0;100
29;Rozmiar:rozmiar:0; 44:0;100
29;Rozmiar:rozmiar:0; 46:0;100
30;Rozmiar:rozmiar:0; 32:0;100
30;Rozmiar:rozmiar:0; 34:0;100
30;Rozmiar:rozmiar:0; 36:0;100
30;Rozmiar:rozmiar:0; 38:0;100
30;Rozmiar:rozmiar:0; 40:0;100
30;Rozmiar:rozmiar:0; 42:0;100
30;Rozmiar:rozmiar:0; 44:0;100
30;Rozmiar:rozmiar:0; 46:0;100
31;Rozmiar:rozmiar:0; 32:0;100
31;Rozmiar:rozmiar:0; 34:0;100
31;Rozmiar:rozmiar:0; 36:0;100
31;Rozmiar:rozmiar:0; 38:0;100
31;Rozmiar:rozmiar:0; 40:0;100
31;Rozmiar:rozmiar:0; 42:0;100
31;Rozmiar:rozmiar:0; 44:0;100
31;Rozmiar:rozmiar:0; 46:0;100
31;Rozmiar:rozmiar:0; 48:0;100
31;Rozmiar:rozmiar:0; 50:0;100
32;Rozmiar:rozmiar:0; 24:0;100
32;Rozmiar:rozmiar:0; 25:0;100
32;Rozmiar:rozmiar:0; 25/30:0;100
32;Rozmiar:rozmiar:0; 26:0;100
32;Rozmiar:rozmiar:0; 26/30:0;100
32;Rozmiar:rozmiar:0; 26/32:0;100
32;Rozmiar:rozmiar:0; 27:0;100
32;Rozmiar:rozmiar:0; 27/30:0;100
32;Rozmiar:rozmiar:0; 27/32:0;100
32;Rozmiar:rozmiar:0; 28:0;100
32;Rozmiar:rozmiar:0; 28/30:0;100
32;Rozmiar:rozmiar:0; 28/32:0;100
32;Rozmiar:rozmiar:0; 28/34:0;100
32;Rozmiar:rozmiar:0; 29:0;100
32;Rozmiar:rozmiar:0; 29/30:0;100
32;Rozmiar:rozmiar:0; 29/32:0;100
32;Rozmiar:rozmiar:0; 29/34:0;100
32;Rozmiar:rozmiar:0; 30:0;100
32;Rozmiar:rozmiar:0; 30/30:0;100
32;Rozmiar:rozmiar:0; 30/32:0;100
32;Rozmiar:rozmiar:0; 30/34:0;100
32;Rozmiar:rozmiar:0; 31:0;100
32;Rozmiar:rozmiar:0; 31/30:0;100
32;Rozmiar:rozmiar:0; 31/32:0;100
32;Rozmiar:rozmiar:0; 31/34:0;100
32;Rozmiar:rozmiar:0; 32:0;100
32;Rozmiar:rozmiar:0; 32/30:0;100
32;Rozmiar:rozmiar:0; 32/32:0;100
32;Rozmiar:rozmiar:0; 32/34:0;100
32;Rozmiar:rozmiar:0; 33:0;100
32;Rozmiar:rozmiar:0; 33/32:0;100
32;Rozmiar:rozmiar:0; 33/34:0;100
32;Rozmiar:rozmiar:0; 34/32:0;100
32;Rozmiar:rozmiar:0; 34/34:0;100
32;Rozmiar:rozmiar:0; 36/34:0;100
33;Rozmiar:rozmiar:0; L:0;100
33;Rozmiar:rozmiar:0; M:0;100
33;Rozmiar:rozmiar:0; S:0;100
33;Rozmiar:rozmiar:0; XL:0;100
33;Rozmiar:rozmiar:0; XS:0;100
34;Rozmiar:rozmiar:0; L:0;100
34;Rozmiar:rozmiar:0; M:0;100
34;Rozmiar:rozmiar:0; S:0;100
34;Rozmiar:rozmiar:0; XL:0;100
34;Rozmiar:rozmiar:0; XS:0;100
35;Rozmiar:rozmiar:0; 32:0;100
35;Rozmiar:rozmiar:0; 34:0;100
35;Rozmiar:rozmiar:0; 36:0;100
35;Rozmiar:rozmiar:0; 38:0;100
35;Rozmiar:rozmiar:0; 40:0;100
35;Rozmiar:rozmiar:0; 42:0;100
35;Rozmiar:rozmiar:0; 44:0;100
35;Rozmiar:rozmiar:0; 46:0;100
36;Rozmiar:rozmiar:0; L:0;100
36;Rozmiar:rozmiar:0; M:0;100
36;Rozmiar:rozmiar:0; S:0;100
36;Rozmiar:rozmiar:0; XS:0;100
37;Rozmiar:rozmiar:0; L:0;100
