Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja)
1;Rozmiar:rozmiar:0; 32:0
1;Rozmiar:rozmiar:0; 34:0
1;Rozmiar:rozmiar:0; 36:0
1;Rozmiar:rozmiar:0; 38:0
1;Rozmiar:rozmiar:0; 40:0
1;Rozmiar:rozmiar:0; 42:0
1;Rozmiar:rozmiar:0; 44:0
1;Rozmiar:rozmiar:0; 46:0
1;Rozmiar:rozmiar:0; 48:0
1;Rozmiar:rozmiar:0; 50:0
2;Rozmiar:rozmiar:0; 32:0
2;Rozmiar:rozmiar:0; 34:0
2;Rozmiar:rozmiar:0; 36:0
2;Rozmiar:rozmiar:0; 38:0
2;Rozmiar:rozmiar:0; 40:0
2;Rozmiar:rozmiar:0; 42:0
2;Rozmiar:rozmiar:0; 44:0
2;Rozmiar:rozmiar:0; 46:0
2;Rozmiar:rozmiar:0; 48:0
2;Rozmiar:rozmiar:0; 50:0
3;Rozmiar:rozmiar:0; L:0
3;Rozmiar:rozmiar:0; M:0
3;Rozmiar:rozmiar:0; S:0
3;Rozmiar:rozmiar:0; XL:0
3;Rozmiar:rozmiar:0; XS:0
4;Rozmiar:rozmiar:0; L:0
4;Rozmiar:rozmiar:0; M:0
4;Rozmiar:rozmiar:0; S:0
4;Rozmiar:rozmiar:0; XL:0
4;Rozmiar:rozmiar:0; XS:0
5;Rozmiar:rozmiar:0; L:0
5;Rozmiar:rozmiar:0; M:0
5;Rozmiar:rozmiar:0; S:0
5;Rozmiar:rozmiar:0; XL:0
5;Rozmiar:rozmiar:0; XS:0
6;Rozmiar:rozmiar:0; L:0
6;Rozmiar:rozmiar:0; M:0
6;Rozmiar:rozmiar:0; S:0
6;Rozmiar:rozmiar:0; XL:0
6;Rozmiar:rozmiar:0; XS:0
7;Rozmiar:rozmiar:0; 32:0
7;Rozmiar:rozmiar:0; 34:0
7;Rozmiar:rozmiar:0; 36:0
7;Rozmiar:rozmiar:0; 38:0
7;Rozmiar:rozmiar:0; 40:0
7;Rozmiar:rozmiar:0; 42:0
7;Rozmiar:rozmiar:0; 44:0
7;Rozmiar:rozmiar:0; 46:0
7;Rozmiar:rozmiar:0; 48:0
7;Rozmiar:rozmiar:0; 50:0
8;Rozmiar:rozmiar:0; L:0
8;Rozmiar:rozmiar:0; M:0
8;Rozmiar:rozmiar:0; S:0
8;Rozmiar:rozmiar:0; XL:0
8;Rozmiar:rozmiar:0; XS:0
9;Rozmiar:rozmiar:0; L:0
9;Rozmiar:rozmiar:0; M:0
9;Rozmiar:rozmiar:0; S:0
9;Rozmiar:rozmiar:0; XL:0
9;Rozmiar:rozmiar:0; XS:0
10;Rozmiar:rozmiar:0; L:0
10;Rozmiar:rozmiar:0; M:0
10;Rozmiar:rozmiar:0; S:0
10;Rozmiar:rozmiar:0; XL:0
10;Rozmiar:rozmiar:0; XS:0
11;Rozmiar:rozmiar:0; L:0
11;Rozmiar:rozmiar:0; M:0
11;Rozmiar:rozmiar:0; S:0
11;Rozmiar:rozmiar:0; XL:0
11;Rozmiar:rozmiar:0; XS:0
12;Rozmiar:rozmiar:0; 32:0
12;Rozmiar:rozmiar:0; 34:0
12;Rozmiar:rozmiar:0; 36:0
12;Rozmiar:rozmiar:0; 38:0
12;Rozmiar:rozmiar:0; 40:0
12;Rozmiar:rozmiar:0; 42:0
12;Rozmiar:rozmiar:0; 44:0
12;Rozmiar:rozmiar:0; 46:0
12;Rozmiar:rozmiar:0; 48:0
12;Rozmiar:rozmiar:0; 50:0
13;Rozmiar:rozmiar:0; L:0
13;Rozmiar:rozmiar:0; M:0
13;Rozmiar:rozmiar:0; S:0
13;Rozmiar:rozmiar:0; XL:0
13;Rozmiar:rozmiar:0; XS:0
14;Rozmiar:rozmiar:0; L:0
14;Rozmiar:rozmiar:0; M:0
14;Rozmiar:rozmiar:0; S:0
14;Rozmiar:rozmiar:0; XL:0
14;Rozmiar:rozmiar:0; XS:0
15;Rozmiar:rozmiar:0; 32:0
15;Rozmiar:rozmiar:0; 34:0
15;Rozmiar:rozmiar:0; 36:0
15;Rozmiar:rozmiar:0; 38:0
15;Rozmiar:rozmiar:0; 40:0
15;Rozmiar:rozmiar:0; 42:0
15;Rozmiar:rozmiar:0; 44:0
15;Rozmiar:rozmiar:0; 46:0
15;Rozmiar:rozmiar:0; 48:0
15;Rozmiar:rozmiar:0; 50:0
16;Rozmiar:rozmiar:0; 32:0
16;Rozmiar:rozmiar:0; 34:0
16;Rozmiar:rozmiar:0; 36:0
16;Rozmiar:rozmiar:0; 38:0
