"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Boyfriend Low Ripped Jeans;10$24$23;"149.9";"Dżinsy z 5 kieszeniami ze spranego denimu z detalami mocnego zużycia. Nieco szersze, zwężane nogawki i niska talia. Rozporek na guziki";"http://lp2.hm.com/hmgoepprod?set=source[/19/03/19033f4de8d029694a8f06f9127e6e8f2cc21d42.jpg],origin[dam],category[ladies_jeans],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/56/07/5607e3e30309e4c89432c66d5897fe74ae8af661.jpg],origin[dam],category[ladies_jeans],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/98/5f/985f968c886cedeb15ba863b2665f376f051121a.jpg],origin[dam],category[ladies_jeans],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Koronkowa sukienka;10$27;"279.0";"Koronkowa sukienka do połowy łydki. Bardzo wąskie regulowane ramiączka, dekolt w serek. Odcinana talia z krytym suwakiem i rozszerzany dół. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/b3/ef/b3efeea27a7cded9f53aa8e949ce02c8312719c9.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/81/3f/813f4ba5b6d331f6f7369cceb6ae58a1bfdb3e73.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/09/fe/09fe84c4448f7d02fbe50b4b4d4874a11b832a3b.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Długa koszula;10$17;"129.99";"CONSCIOUS. Długa koszula z miękkiej spranej mieszanki zawierającej lyocell Tencel®. Na piersi kieszenie z klapką";"http://lp2.hm.com/hmgoepprod?set=source[/9b/7f/9b7f0d75c57406983a66eeffec2ed0347d300471.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/e1/44/e144eda502a155345f212cdcc7c9e653fdf22fe4.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/e8/61/e8617f01382b5e267b72a8c01ef5bd830dc0e78d.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Bawełniana bluzka z dekoltem;10$17;"79.9";"Bluzka z cienkiej kreszowanej wiskozy z szerokim dekoltem i szerokimi rękawami. U góry elastyczny brzeg i koronkowe wstawki z przodu. Elastyczne marszczenie i falbana u dołu rękawów i u dołu bluzki";"http://lp2.hm.com/hmgoepprod?set=source[/71/d7/71d74f835dc46bdfc5f6cde16649dde345b3be40.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/31/38/3138a4d260bec9888574c541e1f47a3caa76f339.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/d9/87/d98741c6620f69198cf1cf4d9f4cb536a8b56a91.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Lniana koszula;10$17;"139.9";"JAKOŚĆ PREMIUM. Długa lniana koszula. Kołnierzyk, zapięcie na guziki. Długie rękawy z szerokim zapinanym mankietem. Zaokrąglony dół z rozcięciami po bokach";"http://lp2.hm.com/hmgoepprod?set=source[/13/e6/13e63cb021519016f2e02f775306bce606cabca0.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/bb/63/bb63605820c0c2db33c64422d0a5c94126ea9ece.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/8e/b7/8eb7aa660e4287356202b26922af46eb4e040145.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Skinny High Waist Jeggings;10$24$23;"79.9";"Dżinsy z elastycznego denimu. Wysoka talia, rozporek na suwak i guzik, atrapy kieszeni z przodu i prawdziwe kieszenie z tyłu. Bardzo obcisłe nogawki";"http://lp2.hm.com/hmgoepprod?set=source[/64/2e/642e3fc33d1419f787e2ce4148fa1bb43137a742.jpg],origin[dam],category[ladies_jeans_skinny_skinnyhigh],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/9f/1e/9f1e32b9125390be598f8608913aebff58ad10bf.jpg],origin[dam],category[ladies_jeans_skinny_skinnyhigh],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/ba/32/ba327b78c15345b06858875f5bdaa2a09463750a.jpg],origin[dam],category[ladies_jeans_skinny_skinnyhigh],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Spodnie z marszczoną talią;10$38$23;"129.9";"Tkaninowe spodnie z kantami wykonane z mieszanki zawierającej lyocell Tencel®. Wysoka marszczona talia z zakładkami i z wyjmowanym paskiem do wiązania, rozporek na suwak i kryte haftki, kieszenie po bokach. Proste zwężane nogawki do kostki";"http://lp2.hm.com/hmgoepprod?set=source[/16/ec/16ec2958a3825de7b661057159f592ccdbb05f61.jpg],origin[dam],category[ladies_trousers_loose],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;Wzorzysta kurtka dżinsowa;10;"129.9";"Krótka kurtka ze spranego denimu we wzorzyste nadruki. Kołnierz, guziki z przodu i u dołu rękawów, na piersi kieszenie z klapką i guzikiem. Po bokach regulowane patki z guzikiem";"http://lp2.hm.com/hmgoepprod?set=source[/24/44/244411f6ff88ef40dfa575dd8970ae0783309137.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/a6/57/a6572d92298101e3ea4e3884f9ffcd9fd8149c31.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;MAMA Dżersejowy top z bawełny;10$36;"39.9";"Dopasowany top z miękkiego bawełnianego dżerseju. Krótkie rękawy, po bokach marszczenie zapewniające lepsze dopasowanie";"http://lp2.hm.com/hmgoepprod?set=source[/ac/cb/accbdf1d9e03d01947692f2798170b73171dde1a.jpg],origin[dam],category[ladies_maternity_tops],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/30/3c/303c155f1d9ebae1499ba6d95b2fda2f38df3488.jpg],origin[dam],category[ladies_maternity_tops],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/a3/12/a3124535fbdbca8c591dd188d399fed33ec7aa8c.jpg],origin[dam],category[ladies_maternity_tops],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;MAMA Sukienka dla karmiącej;10$27$36;"149.9";"Szyfonowa sukienka bez rękawów. Z tyłu rozcięcie z guzikiem na karku. Dwuwarstwowy przód, głębokie wycięcia wokół ramion i kopertowa podszewka ułatwiająca karmienie. Ozdobne falbankowe brzegi u góry, w talii wyjmowany pasek do wiązania. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/f0/cc/f0cc764370ef6dc90517eed34a1bacd791845211.jpg],origin[dam],category[ladies_maternity_dresses],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/32/00/32006a082c447a6cbfe04f40388b53a0588a56e7.jpg],origin[dam],category[ladies_maternity_dresses],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/40/ce/40ce778e7d18e5a0f3a10489793e4f1f52b02b3e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
