"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Sweter z dekoltem w serek;10$20$18;"99.9";"Obszerny sweter z miękkiej dzianiny. Głęboki dekolt w serek, reglanowy rękaw. Ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/0e/d7/0ed7504df68f66726d2abf4383d61fbc89955344.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b1/f3/b1f3bdc09c038423a94c9c6acb4b87c501ebd525.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/e6/99/e699ce0426ea3430697b8e8fb7a6e6923dc57988.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter;10$18;"129.9";"Szeroki sweter z miękkiej dzianiny. Obniżone ramiona, nieco szersze rękawy, szeroki ściągacz wokół szyi, nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/df/a4/dfa4600cd6612a5b6a26d02ac71a0ea63f4b5f54.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/5e/16/5e16aa467ea91a5f501f4ad8d23a6aa163e8dbdc.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/a2/18/a21871e7bfeb01ed2d5f8391da53bcf256145f82.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Długa koszula bawełniana;10;"99.9";"Nieco dłuższa koszula z bawełnianej tkaniny. Kołnierzyk, kryte zapięcie, kieszonka na piersi, z tyłu karczek z zakładką. Długie rękawy z mankietem na guzik. Zaokrąglony dół z rozcięciami po bokach";"http://lp2.hm.com/hmgoepprod?set=source[/e2/20/e2205fcf05d1984ddc5a673752aa971e7ada33ad.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/52/09/520968cca9254611dee5dd1892b2e3164e280645.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/33/7c/337c96cbb234d26ddb98dfe677694118a9f049c3.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bawełniana koszula;10$17;"59.9";"Koszula z bawełnianej tkaniny. Kołnierzyk, guziki z przodu, z tyłu karczek z kontrafałdą, długie rękawy z zapinanym mankietem. Zaokrąglony dół i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/02/56/02566ebbaf1e28d934e697ac4f88419a3ddc2c5c.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/75/18/75184a8930aeac738f3dd4cf7ce972720a80a315.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/ce/4c/ce4ce55387cae1f1d09eee3161cfc7fe9cb71e3a.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z dekoltem w serek;10$20$18;"99.9";"Obszerny sweter z miękkiej dzianiny. Głęboki dekolt w serek, reglanowy rękaw. Ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/50/4b/504b43486a99b661306a49b3642bc9cfc7beb371.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/72/8a/728a22ec7c57f50ba356801c5230215b098283d0.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/47/fb/47fb2dcb5f0cfd9bd8e6a64cf20141895c2d51d7.jpg],origin[dam],category[ladies_knitwear_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Golf o splocie w prążki;10$20$18;"99.9";"Nieco krótszy sweter o splocie w prążki z domieszką wełny. Golfowy kołnierz ze zrolowanym brzegiem, obniżone ramiona, zrolowany brzeg rękawów i u dołu swetra";"http://lp2.hm.com/hmgoepprod?set=source[/ea/42/ea42aa2c2939792b4aea77a26995cc994516fb42.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b8/09/b8093e525fdfd542796ab609a9c379a292f4dc1b.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/97/c8/97c800f5ee6fa40aaeae1219e75a8c08cd9e2f4a.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Kardigan o splocie w prążki;10$20$18;"139.9";"Kardigan o splocie w prążki z miękkiej dzianiny z domieszką wełny. Mocno obniżone ramiona, szerokie rękawy ze ściągaczem. Bez zapięcia";"http://lp2.hm.com/hmgoepprod?set=source[/5e/c0/5ec0edbdcd11c0e08703a8f66cab980d5246f424.jpg],origin[dam],category[ladies_knitwear_cardigans],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b1/73/b1738039af1e7be16f8841221e2437274a24a7e8.jpg],origin[dam],category[ladies_knitwear_cardigans],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/5f/47/5f47d4731dde3c9236d4f5159fe272af1fd2708d.jpg],origin[dam],category[ladies_knitwear_cardigans],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter;10$18;"129.9";"Szeroki sweter z miękkiej dzianiny. Obniżone ramiona, nieco szersze rękawy, szeroki ściągacz wokół szyi, nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/9f/b1/9fb14f5a0cfb0706d0898d7f7da3f8e7ca4b374a.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/87/ea/87ea6fa4a8bbb57c72d9ac12879b4dd1564c0599.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/3f/e7/3fe7d0454bcaad837a575839ac6646d687f8464f.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Marynarka o prostym kroju;10$21;"129.99";"Prosta marynarka bez zapięcia z tkaniny. Otwarte klapy, z przodu kieszenie z wypustką i klapką. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/bc/65/bc65487300360f4d01a32954ad9fb22db58ab64f.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/05/f7/05f7ea58cd541f1fc4ae5faa14fd26ecf0dc14e1.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/6a/a0/6aa0ea7de03998822dce71608a7b19d3f6bfd792.jpg],origin[dam],category[ladies_blazerswaistcoats_blazers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bawełniana koszula;10$17;"59.9";"Koszula z bawełnianej tkaniny. Kołnierzyk, guziki z przodu, z tyłu karczek z kontrafałdą, długie rękawy z zapinanym mankietem. Zaokrąglony dół i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/12/76/12766d432a6c28f9543f8ac21de69ad6ab21d25c.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/42/1f/421f368f19e36ed4f99e2460b8662da5a33a75eb.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/03/41/0341b1c6be7c0fa3e9cc5dac0d575f46b68bf4ae.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
