"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Płaszcz z domieszką wełny;10$21$22;"399.0";"Podkreślający figurę filcowy płaszcz z miękkiej mieszanki zawierającej wełnę. Kołnierz i klapy, z przodu kryte zatrzaski. Wyjmowany pasek wiązany w talii. Kieszenie w szwie bocznym, rozcięcie z tyłu. Z podszewką";"http://lp2.hm.com/hmprod?set=source[/environment/2017/9IZ_0117_013R.jpg],width[3983],height[4657],y[-1],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0534181 001 66 0856.jpg],type[STILLLIFE_FRONT]&hmver=1&call=url[file:/product/main"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0534181 001 66 0856.jpg],width[2081],height[2433],x[600],y[229],type[DETAIL]&hmver=1&call=url[file:/product/main";100
1;Krótki płaszcz pluszowy;10$21$22;"279.0";"Krótki płaszcz z miękkiego materiału futerkowego. Otwarte klapy, zapięcie na kryte zatrzaski, kieszenie po bokach. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/37/83/37835ef8f66f9e9c9e14e70de4931f9dd05ba567.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/67/4d/674dc1a8e1bb3e582ead5b68de81929775f999eb.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/dd/7d/dd7df1d20601ca9c5e80ab611152da76ab2209c8.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Płaszcz z domieszką wełny;10$21$22;"399.0";"Dwurzędowy płaszcz z mieszanki zawierającej włoską wełnę. Otwarte klapy, zapięcie z przodu, po bokach kieszenie z wypustką, jedna kieszeń wewnętrzna. Rozcięcie z tyłu. Z podszewką. Wełna zawarta w płaszczu pochodzi z recyklingu";"http://lp2.hm.com/hmgoepprod?set=source[/97/52/975211661503a9f7d1166e9f85e5230f8d603f4b.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/9f/d9/9fd90ec5e5075e80cd9ef074db11e6da33ee8a4e.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/a5/3c/a53cd8d56b30754198649b59e2e6ede5127c4367.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Golf o splocie w prążki;10$18$20;"149.9";"Szeroki sweter w prążki z miękkiej dzianiny z domieszką wełny. Golfowy kołnierz, mocno obniżone ramiona, szerokie rękawy ze ściągaczem. Nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/a0/18/a0182fe92c64d8e0f427700f5d6278a77467827a.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/05/e3/05e3061718555d41e23361ecbe707a0894c86e17.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b1/93/b19366df7cda332631123f4d4b0253402f527f22.jpg],origin[dam],category[ladies_cardigansjumpers_turtlenecks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bawełniany sweter w serek;10$18;"79.9";"Bawełniany sweter o splocie w prążki. Dekolt w serek, obniżone ramiona, rękawy i dół ze ściągaczem";"http://lp2.hm.com/hmgoepprod?set=source[/8a/ae/8aaef7c99023d90d1e5758675550623b0cc7d763.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/05/9d/059ddbd0d485f209f7340bb150b12b10134dd1ab.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/9e/a1/9ea150cdf2357383366db19946c8de436a59a65d.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Bawełniana koszula;10$17;"59.9";"Koszula z bawełnianej tkaniny. Kołnierzyk, guziki z przodu, z tyłu karczek z kontrafałdą, długie rękawy z zapinanym mankietem. Zaokrąglony dół i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/02/56/02566ebbaf1e28d934e697ac4f88419a3ddc2c5c.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/75/18/75184a8930aeac738f3dd4cf7ce972720a80a315.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/ce/4c/ce4ce55387cae1f1d09eee3161cfc7fe9cb71e3a.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z dekoltem w serek;10$18$20;"99.9";"Obszerny sweter z miękkiej dzianiny. Głęboki dekolt w serek, reglanowy rękaw. Ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmprod?set=source[/environment/2017/9IZ_0039_032R.jpg],width[4090],height[4782],y[-1],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0537346 001 55 1012.jpg],type[STILLLIFE_FRONT]&hmver=1&call=url[file:/product/main"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0537346 001 55 1012.jpg],width[2028],height[2371],x[583],y[85],type[DETAIL]&hmver=1&call=url[file:/product/main";100
1;Spodnie z marszczoną talią;10;"99.9";"Tkaninowe spodnie z wyjmowanym paskiem wiązanym. Po bokach kieszenie. Rozporek na suwak i kryte haftki. Wysoka elastyczna talia. Zwężane nogawki do kostki z kantem";"http://lp2.hm.com/hmgoepprod?set=source[/e7/70/e7704bda3a251ce1dfe04ec56167f1540930f3b9.jpg],origin[dam],category[ladies_trousers_chinosslacks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/fb/d8/fbd8aca35c68c72b6c62acde9581b77baa1682f7.jpg],origin[dam],category[ladies_trousers_chinosslacks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/de/49/de49c033ec716d9f35f003717304b9e311715a2c.jpg],origin[dam],category[ladies_trousers_chinosslacks],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Koszula;10$17;"79.99";"Koszula z mieszanki zawierającej bawełnę. Kołnierzyk, guziki z przodu, kieszonka na piersi. Długie rękawy z zapinanym mankietem. Zaokrąglony dół";"http://lp2.hm.com/hmgoepprod?set=source[/bf/6c/bf6c015dc2e10120cdb3c0db9310cc9fcbe0fdf6.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b1/92/b192daab588a6fd012208ad4c4eda2767ede1bb9.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/ff/52/ff5229418ae7c0faf15497908a16a1b502c4730a.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sweter z dekoltem w serek;10$18$20;"99.9";"Obszerny sweter z miękkiej dzianiny. Głęboki dekolt w serek, reglanowy rękaw. Ściągacz wokół szyi, rękawów i u dołu";"http://lp2.hm.com/hmprod?set=source[/environment/2017/9IZ_0039_032R.jpg],width[4090],height[4782],y[-1],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0537346 001 55 1012.jpg],type[STILLLIFE_FRONT]&hmver=1&call=url[file:/product/main"$"http://lp2.hm.com/hmprod?set=source[/model/2017/F00 0537346 001 55 1012.jpg],width[2028],height[2371],x[583],y[85],type[DETAIL]&hmver=1&call=url[file:/product/main";100
